iter	MultiClass
0	1.016855982
1	0.9330806474
2	0.8608293574
3	0.7996306586
4	0.7451367475
5	0.7062104595
6	0.6662287328
7	0.6349313757
8	0.6047488787
9	0.5779020468
10	0.5541469684
11	0.5327293852
12	0.5093213717
13	0.490042729
14	0.4741176892
15	0.4557643163
16	0.4408510581
17	0.4303315093
18	0.4158708728
19	0.4045677079
20	0.394629697
21	0.3866804002
22	0.3765977054
23	0.3698434977
24	0.3610606555
25	0.3552053346
26	0.3499079389
27	0.3420509874
28	0.3344888336
29	0.3311845572
30	0.3276474195
31	0.3238497355
32	0.3199537197
33	0.3165370082
34	0.3116286613
35	0.3099940883
36	0.3045968869
37	0.3033267987
38	0.3021810784
39	0.3010877125
40	0.3005941529
41	0.2983029912
42	0.2942582619
43	0.2928951153
44	0.2922271264
45	0.2883789352
46	0.2864494211
47	0.283348173
48	0.2802789591
49	0.2791509151
50	0.2770317852
51	0.274676557
52	0.2725700436
53	0.271833947
54	0.2702839091
55	0.2686811588
56	0.2655320697
57	0.2622455702
58	0.2591352412
59	0.2587115627
60	0.2574172175
61	0.2544591586
62	0.253494263
63	0.2525985537
64	0.2505295168
65	0.248784976
66	0.2480210167
67	0.2471550979
68	0.2462766542
69	0.2454787221
70	0.2444961897
71	0.2428741916
72	0.2408219889
73	0.2385395221
74	0.2379424987
75	0.2369411171
76	0.2362777395
77	0.2354086682
78	0.2340386071
79	0.2335228644
80	0.2327697108
81	0.230908399
82	0.2304432296
83	0.2292247491
84	0.2276796423
85	0.2266610039
86	0.2262844784
87	0.2254814144
88	0.2248169649
89	0.2241550247
90	0.2231999382
91	0.2223988136
92	0.2215591123
93	0.2200622977
94	0.2193471937
95	0.2188215912
96	0.2182898021
97	0.2173990736
98	0.2168014013
99	0.2163924366
100	0.2159124996
101	0.2136759421
102	0.2125962841
103	0.212178347
104	0.2115213995
105	0.2110266538
106	0.2104895104
107	0.2098526287
108	0.2092631021
109	0.2085052564
110	0.2079045783
111	0.2058313436
112	0.2052384211
113	0.2045744056
114	0.203932013
115	0.2034161791
116	0.2024944276
117	0.2017591006
118	0.2010991588
