iter	Passed	Remaining
418	2416	3351
419	2421	3344
420	2427	3338
421	2432	3331
422	2438	3325
423	2443	3319
424	2448	3313
425	2453	3306
426	2459	3300
427	2464	3293
428	2469	3287
429	2475	3281
430	2480	3274
431	2487	3270
432	2492	3263
433	2497	3257
434	2503	3251
435	2508	3244
436	2513	3238
437	2518	3231
438	2524	3225
439	2529	3219
440	2535	3213
441	2540	3206
442	2545	3200
443	2550	3194
444	2555	3187
445	2561	3181
446	2566	3174
447	2571	3168
448	2576	3162
449	2581	3155
450	2587	3149
451	2592	3143
452	2597	3136
453	2602	3130
454	2608	3123
455	2613	3117
456	2618	3111
457	2623	3104
458	2629	3098
459	2634	3092
460	2639	3086
461	2644	3079
462	2649	3073
463	2655	3067
464	2660	3061
465	2666	3055
466	2671	3048
467	2676	3042
468	2682	3037
469	2687	3031
470	2693	3024
471	2698	3018
472	2703	3012
473	2708	3006
474	2714	3000
475	2719	2993
476	2724	2987
477	2730	2981
478	2735	2975
479	2740	2968
480	2745	2962
481	2751	2956
482	2756	2950
483	2762	2944
484	2767	2938
485	2772	2932
486	2778	2926
487	2783	2920
488	2789	2914
489	2794	2908
490	2799	2902
491	2804	2896
492	2810	2890
493	2815	2883
494	2820	2877
495	2826	2871
496	2831	2865
497	2836	2859
498	2842	2853
499	2847	2847
500	2852	2841
501	2857	2835
502	2863	2829
503	2868	2823
504	2874	2817
505	2879	2811
506	2885	2805
507	2890	2799
508	2895	2793
509	2901	2787
510	2906	2781
511	2911	2775
512	2917	2769
513	2922	2763
514	2927	2757
515	2932	2751
516	2938	2745
517	2943	2739
518	2949	2733
519	2954	2727
520	2959	2720
521	2964	2714
522	2970	2709
523	2975	2703
524	2981	2697
525	2986	2691
526	2991	2685
527	2997	2679
528	3002	2673
529	3007	2667
530	3013	2661
531	3018	2655
532	3024	2649
533	3029	2643
534	3034	2637
535	3040	2631
536	3045	2626
537	3051	2620
538	3056	2614
539	3062	2608
540	3067	2602
541	3072	2596
542	3077	2590
543	3083	2584
544	3088	2578
545	3094	2572
546	3099	2566
547	3104	2560
548	3109	2554
549	3115	2548
550	3120	2542
551	3126	2537
552	3131	2530
553	3136	2525
554	3142	2519
555	3147	2513
556	3152	2507
557	3158	2501
558	3163	2495
559	3168	2489
560	3174	2483
561	3179	2477
562	3184	2471
563	3190	2466
564	3195	2460
565	3200	2454
566	3205	2448
567	3211	2442
568	3216	2436
569	3222	2430
570	3227	2424
571	3232	2418
572	3238	2412
573	3243	2407
574	3248	2401
575	3253	2395
576	3259	2389
577	3264	2383
578	3269	2377
579	3275	2371
580	3280	2365
581	3285	2359
582	3291	2354
583	3296	2348
584	3301	2342
585	3306	2336
586	3312	2330
587	3317	2324
588	3323	2318
589	3328	2313
590	3334	2307
591	3339	2301
592	3344	2295
593	3350	2289
594	3355	2284
595	3361	2278
596	3366	2272
597	3371	2266
598	3377	2260
599	3382	2254
600	3387	2249
601	3393	2243
602	3398	2237
603	3403	2231
604	3409	2225
605	3414	2219
606	3419	2214
607	3424	2208
608	3430	2202
609	3435	2196
610	3441	2190
611	3446	2185
612	3451	2179
613	3457	2173
614	3462	2167
615	3467	2161
616	3473	2156
617	3479	2150
618	3484	2144
619	3489	2138
620	3494	2132
621	3500	2127
622	3505	2121
623	3510	2115
624	3516	2109
625	3521	2104
626	3527	2098
627	3532	2092
628	3537	2086
629	3542	2080
630	3548	2074
631	3553	2068
632	3558	2063
633	3563	2057
634	3569	2051
635	3574	2045
636	3579	2039
637	3584	2034
638	3589	2028
639	3595	2022
640	3600	2016
641	3605	2010
642	3611	2004
643	3616	1999
644	3622	1993
645	3627	1987
646	3632	1981
647	3637	1976
648	3643	1970
649	3648	1964
650	3653	1958
651	3659	1953
652	3664	1947
653	3670	1941
654	3675	1935
655	3680	1930
656	3686	1924
657	3691	1918
658	3696	1912
659	3701	1906
660	3707	1901
661	3712	1895
662	3717	1889
663	3722	1883
664	3728	1878
665	3733	1872
666	3738	1866
667	3743	1860
668	3749	1855
669	3754	1849
670	3760	1843
671	3765	1838
672	3770	1832
673	3776	1826
674	3781	1820
675	3786	1814
676	3791	1809
677	3797	1803
678	3802	1797
679	3807	1791
680	3812	1786
681	3818	1780
682	3823	1774
683	3828	1768
684	3834	1763
685	3839	1757
686	3844	1751
687	3850	1745
688	3855	1740
689	3860	1734
690	3866	1728
691	3871	1723
692	3876	1717
693	3882	1711
694	3887	1705
695	3892	1700
696	3897	1694
697	3903	1688
698	3908	1683
699	3913	1677
700	3919	1671
701	3924	1665
